stratum,quantity,bin_center,n,meas_rms,roller_rms,total_rms,roller_mag_frac,body_mag_frac,yaw_mag_frac,wheel_mag_frac,roller_energy_frac,meas_energy_frac,roller_over_total_median,meas_roller_align
psi>=2,Vp_perp,-0.01874999999999999,17041243,1.0363696581884743,1.0159519834233588,0.023621369201583226,0.48888559723191255,0.010991253926244266,0.0912494141610615,0.4088737346807817,1849.8487893825957,1924.949071946154,0.495,-0.9999330005709735
psi>=2,Vp_perp,0.01874999999999999,16184223,1.0521062657534255,1.0319953952857155,0.02331223905715492,0.48914300407330463,0.010823768918247195,0.09042689471474959,0.4096063322936986,1959.6907517036154,2036.8133748360779,0.495,-0.9999359838963308
psi>=2,Vp_perp,0.056249999999999994,15209294,1.0847099027126028,1.0310574289847632,0.05590434979176544,0.48180635653014214,0.00946284910430441,0.08966610796256329,0.41906468640299016,340.153160243757,376.4748844421388,0.485,-0.9998897045847567
psi>=2,Vp_perp,0.09375,8156818,1.076202606164692,0.9874116450477386,0.09160123070213533,0.472980944865297,0.009252776215198632,0.08903273205186828,0.4287335468676361,116.19672088025919,138.033805558335,0.475,-0.9997614697635319
psi>=2,Vp_perp,0.13124999999999998,3390125,1.0616962441323199,0.9355554425678013,0.12938329844898078,0.4627021522966262,0.009580683996601322,0.08979445147214628,0.43792271223462614,52.2856632959742,67.3355054724065,0.465,-0.9995829274296245
psi>=2,Vp_perp,0.16874999999999998,1996973,1.0037402824063602,0.8395906822989878,0.1681289292650677,0.4492276000518936,0.010040898583484304,0.09126780575349545,0.44946369561112665,24.937351452625116,35.64165098622765,0.455,-0.9992154995731943
psi>=2,Vp_perp,0.20625000000000002,1539683,0.9495484021303671,0.7471658374714634,0.2056289456924564,0.43482038720789484,0.010033896446801865,0.09185668082067731,0.46328903552462597,13.20278391562581,21.32385481817303,0.435,-0.999066514023576
psi>=2,Vp_perp,0.24375000000000002,1062159,0.9283730670273193,0.6878876071428166,0.2426916791877711,0.42135277078081124,0.0097941571860617,0.09267083446878704,0.4761822375643401,8.033877355755351,14.633064679055828,0.425,-0.9991653871933504
psi>=2,Vp_perp,0.28125,1867212,1.0005226963355434,0.6473890380936719,0.36288286905937267,0.3915228090837783,0.01392596161026621,0.08890836501129368,0.5056428642946619,3.1827149914851005,7.601879069097383,0.395,-0.994611470972529
psi<0.5,wz,0.625,794839373,0.14162262525159408,0.491495745761618,0.4913362540208326,0.8036588842438382,0.0,0.19634111575616178,0.0,1.0006493216229724,0.08308213731999127,0.845,-0.14519908512180163
