dataset,scheme,channel,stratum,vcod_center,wz_center,n,channel_rms,N_bar,mu_bar,wz_bar,A_dF_dmu,abs_A,B_intercept,C_a,C_b,R2_form,R2_form_a,R2_form_b,partial_R2_chi_a,partial_R2_chi_b,chi_swing_a,chi_swing_b
full,binned,Fpar,gross,-0.28125,16.25,770362,40.546746498693096,78.19135960402599,0.7999088740098723,16.220129731882217,46.20959721214621,46.20959721214621,1.7403230582744893,-0.03836876270819651,-0.0023698655680313026,0.801083077712748,0.9242599119865613,0.925601939258361,0.6192375834969739,0.6259842557075044,3.839697904604896,3.8467795338379465
full,binned,Fpar,gross,-0.24375,1.25,372286,35.38095526160658,83.4175194658741,0.4906133993757478,1.2492400182120462,63.07364573804146,63.07364573804146,17.09832016842602,-0.012966853911710914,-0.00813960513541877,0.9931255480084336,0.9935228794081045,0.9937274066148283,0.05779826525203038,0.08755004866324036,0.8490852123024385,0.6658338716380419
full,binned,Fpar,gross,-0.24375,3.75,365666,34.315918050930286,83.4290845182401,0.49123188921037036,3.7441040371828955,60.998817625121674,60.998817625121674,17.130611072118104,-0.02822503524517765,-0.007388751213030795,0.9908844334769545,0.9928467110031233,0.9930768218898661,0.21526665635184228,0.24051038488599966,1.850795801549378,1.814023731654107
full,binned,Fpar,gross,-0.24375,6.25,327392,34.250453786262575,84.25405496306588,0.5085386936760802,6.189163945854447,58.67849762172567,58.67849762172567,12.757612486050904,-0.041454347932507726,-0.006649429947748014,0.9881850386302639,0.9928017852647203,0.9930547711750559,0.3907542724838849,0.41216660743943384,2.841874437748034,2.821312541649643
full,binned,Fpar,gross,-0.24375,8.75,209172,38.96586769972529,85.6487696260152,0.6151980188552958,8.66834488135382,57.213850434711816,57.213850434711816,32.20542930224688,-0.0504803139873776,-0.005784697929734086,0.9807042811717183,0.9929197443137077,0.993213978080371,0.6330659795936284,0.6483146349705988,4.255769394380833,4.22739575453787
full,binned,Fpar,gross,-0.24375,11.25,155376,40.80224751856661,86.42771131416026,0.6731432138811658,11.182107649077738,55.125831036675514,55.125831036675514,15.653838334604638,-0.058070286221814454,-0.005186159982842014,0.9665481422063799,0.992127674578433,0.9925635563893813,0.7646670187905541,0.77769714147126,5.405482103700475,5.398213361740449
full,binned,Fpar,gross,-0.24375,13.75,102033,43.65840477550515,87.28354541240437,0.7467113580900271,13.638555194725642,53.460336190017294,53.460336190017294,11.830482726095246,-0.06464006070894249,,0.9350635622819434,0.9923074075624481,,0.8815365808800305,,6.740729109017699,
full,binned,Fpar,gross,-0.24375,16.25,71547,43.778103556913265,85.54109639995616,0.7995597299677107,16.17423739580301,47.02009335055526,47.02009335055526,48.06128318731122,-0.06980355830695133,,0.865167114892848,0.9875383475684899,,0.9075770542059769,,7.638767109908696,
full,binned,Fpar,gross,-0.20625,1.25,468736,34.055560002532275,82.81635028754573,0.46901859468869467,1.2468658243334296,62.505853685065915,62.505853685065915,-19.824953187366372,-0.01875430891606972,-0.010701566227244184,0.990649401595894,0.9915060903680502,0.9916918311472372,0.09161860397939652,0.11148265664853818,1.1655400367565494,0.8292647326120222
full,binned,Fpar,gross,-0.20625,3.75,451783,33.00378576804364,82.85183453155653,0.47226456064083755,3.7381977910466344,60.33043570267073,60.33043570267073,-20.782894712249483,-0.03560996290430668,-0.009290169259253881,0.9875522880295373,0.9907988080074883,0.9911212750129006,0.2608125883419084,0.2867183135207653,2.2293537642867918,2.1741693629668437
full,binned,Fpar,gross,-0.20625,6.25,376791,33.46446677413745,84.14113016962887,0.4985817071002227,6.172026726456684,57.92232225550968,57.92232225550968,-21.788445245120084,-0.05032816548480496,-0.008031665004593956,0.9829623890917725,0.990438102238879,0.9907201821997844,0.438777078979802,0.45533338857185335,3.378125377671514,3.3273466431178957
full,binned,Fpar,gross,-0.20625,8.75,233661,37.867951576163634,85.39205506668299,0.6011268461574677,8.665067831125079,55.70969773915294,55.70969773915294,-9.992879832025556,-0.05899087588697644,-0.006761764199309794,0.9739608264152161,0.9904226160673727,0.9907622377211386,0.6321932452486175,0.6452359653894876,4.844940150697942,4.812110157275735
